cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
6170,2261,1040,7320,15250,3019,784395,72900,3400,2240,7420,5840,248880,1594,12261,2835,178673,7999,2605,8438,2771,4140,1220,521.460022
6140,2248,1060,7050,15050,3044,714433,73100,3245,2250,7390,5668,255100,1650,12583,2608,175396,8028,2650,8218,2864,4250,1220,519.140015
6140,1925,1035,6630,15150,3044,664348,73000,3100,2260,7020,5900,264440,1594,12729,2665,188498,8583,2665,7836,3556,4230,1190,517.650024
6250,1766,1060,6780,14650,3044,677644,71500,3105,2240,7240,5884,224760,1585,12437,2787,199560,8962,2715,7776,4025,4400,1190,489.690002
6340,1892,1035,6940,15150,3079,754929,72800,3330,2250,7420,7354,239540,1622,12758,2860,197040,8903,2780,7796,3906,4460,1176,494.73999
6300,1879,1045,7070,14850,3079,694570,73100,3195,2240,7460,7423,231760,1613,12437,2673,182958,10014,2795,7716,3781,4700,1230,504.940002
6480,1746,1070,6970,15350,3100,712992,74200,3195,2255,7410,7440,217760,1678,12670,2774,187229,9838,2735,7937,3800,4990,1210,493.429993
6900,1819,1040,6930,15250,3507,751299,78300,3320,2320,7490,7526,216980,1688,12933,2633,188498,10305,2695,7857,3826,5300,1216,477.089996
7380,2235,1090,6730,15800,3439,754929,78900,3275,2310,7800,7258,213100,1883,12758,2608,192271,9692,2700,7917,4982,5330,1252,441.660004
7700,2076,1130,7220,16050,3345,647422,78500,3295,2350,7800,6912,213880,2009,12904,2511,188997,9809,2680,7796,4750,5150,1244,436.450012
7650,2024,1165,6910,15800,3250,676133,78500,3375,2320,7200,6912,212320,1865,13225,2544,197040,9167,2760,7676,5423,4935,1246,439.049988
7520,2017,1110,6900,16100,3340,681274,82000,3400,2550,7280,6765,233320,1809,13225,2568,235812,9429,2710,7596,6058,5240,1230,430.25
7500,2070,1110,6340,16500,3284,659963,81300,3450,2390,7210,6498,236440,1958,13137,2706,243856,8875,2690,7656,5945,5330,1264,405.519989
7550,2037,1135,6480,16350,3284,707789,81000,3485,2355,7600,7345,225540,1949,13342,2714,222472,8903,2775,7776,5886,5550,1258,389.119995
7630,2142,1270,6420,16200,3302,848532,82500,3350,2310,7350,6731,223980,2033,13254,2754,238317,8759,2850,7596,6413,5730,1270,369.01001
7690,2241,1230,6500,15500,3345,757873,82000,3405,2320,7110,6567,216980,1907,13371,2795,230274,8407,2970,7456,7258,6000,1232,383.059998
7530,2538,1300,6510,15800,3439,763084,81500,3425,2330,7060,6282,210760,1921,13137,2681,227752,8700,2900,7756,5608,6010,1230,417.429993
7790,2288,1285,6400,15500,3473,780010,81000,3430,2310,6910,6376,225540,1855,13488,2588,244610,9196,2810,7616,5213,5700,1214,432.779999
8100,2202,1275,6550,15450,3375,855106,79500,3335,2305,7080,6524,220100,1818,13663,2414,251402,9284,3000,7596,5312,5660,1222,410.130005
8000,2169,1255,6830,15550,3267,803580,83000,3325,2340,7000,6498,220880,1823,13663,2349,248142,9109,2930,7636,5477,6000,1246,396.329987
7680,2281,1240,6490,15250,3345,719574,83000,3275,2325,7800,6030,205320,1888,13254,2309,267264,8378,2850,7796,4572,5610,1234,398.059998
7990,2195,1235,6000,14700,3310,704159,83200,3175,2380,7370,5815,204540,1944,12583,2191,256185,8407,2790,7496,3991,5680,1360,362.649994
7890,2307,1220,5960,14800,3345,732870,84100,3130,2270,7500,5624,202220,1883,13079,2203,251915,8816,2725,7436,4487,5550,1320,367.040009
7970,2307,1255,5910,14900,3512,718140,88500,3170,2290,7300,5806,201440,2098,13488,2187,240340,8933,2680,7436,4420,5600,1340,393.920013
7940,2755,1265,6210,15300,3550,838180,92000,3220,2340,7180,5840,211540,2098,13546,2325,259460,9750,2785,7195,4500,5570,1292,404.480011
7710,2703,1265,6290,15100,3692,796928,91400,3245,2340,7230,5858,225540,2023,13546,2268,301990,9167,2765,7276,4487,5770,1340,null
7730,2848,1280,6200,15250,3645,803580,91300,3310,2380,7200,6030,219320,2042,13283,2215,289660,9079,2710,7316,5193,5670,1308,416.109985
7790,2584,1265,6780,15050,3640,813169,93900,3205,2450,7300,5815,220880,2033,13225,2268,277331,9225,2685,7516,4842,5720,1300,402.119995
