0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-0.73734141,0.27985911,-0.952727273,-0.22629108,-0.982945667,-0.016970861,-0.948337221,-0.165845126,-0.638591671,-0.795641646,-0.726452544,-0.053571429,-0.768707483,0.290032154,0.112135821,0.828329092,-0.959665662,-0.427670686,-0.713128674,-0.285289114,-0.60550141,-0.859001748,-0.767316342,-0.369773818,-0.429809359,-0.925331688
-0.729340496,0.493115594,-0.901818182,-0.149295775,-0.977766865,0.013768812,-0.925704765,-0.103514072,-0.578681202,-0.789669088,-0.703356189,0.017857143,-0.767573696,0.320900322,0.184657305,0.828329092,-0.958790942,-0.392534835,-0.678118877,-0.199469398,-0.557413546,-0.837249951,-0.743268366,-0.316655243,-0.325823224,-0.925331688
-0.717910618,0.727505604,-0.916363636,-0.145539906,-0.978034734,0.020172911,-0.928237254,-0.062172046,-0.578681202,-0.782728006,-0.718513172,-0.042857143,-0.750566893,0.300321543,0.211905261,0.854792197,-0.950140927,-0.41082473,-0.686610059,-0.151235763,-0.532874883,-0.821712954,-0.743268366,-0.268677176,-0.322357019,-0.928417155
-0.677906046,0.609349984,-0.901818182,-0.156807512,-0.975088174,-0.004162664,-0.937140953,-0.098425823,-0.585856313,-0.785956416,-0.722121978,0.014285714,-0.68707483,0.290032154,0.184657305,0.801865988,-0.953834192,-0.38829928,-0.685042456,-0.146725291,-0.517439272,-0.841134201,-0.75886057,-0.300548321,-0.322357019,-0.926565875
-0.676763059,0.678994557,-0.930909091,-0.2,-0.975891781,-0.031059878,-0.944471843,-0.159484815,-0.627846541,-0.802098467,-0.717791411,-0.075,-0.732426304,0.205144695,0.19367009,0.775402884,-0.956069589,-0.413616345,-0.701502286,-0.22541349,-0.521990798,-0.851233249,-0.792563718,-0.362919808,-0.351819757,-0.937673558
-0.675620071,1,-0.949090909,-0.207511737,-0.986963704,-0.056676273,-0.949483505,-0.20877723,-0.61636539,-0.811783697,-0.727174305,-0.055357143,-0.742630385,0.207717042,0.171033326,0.933842239,-0.962872971,-0.422039323,-0.708295232,-0.191432235,-0.537426409,-0.860555448,-0.817811094,-0.353666895,-0.419410745,-0.940141932
-0.687049949,0.617835415,-0.92,-0.162441315,-0.983570695,-0.075888569,-0.939433522,-0.200826841,-0.61636539,-0.800161421,-0.726452544,-0.076785714,-0.760770975,0.238585209,0.121358206,0.999660729,-0.954222957,-0.433302048,-0.687655127,-0.155678755,-0.552862019,-0.838803651,-0.825007496,-0.295407814,-0.415944541,-0.931502623
-0.756772203,0.598783221,-0.92,-0.188732394,-0.988749498,-0.1168748,-0.949483505,-0.216409604,-0.551780626,-0.814205004,-0.735835438,-0.039285714,-0.761904762,0.218006431,0.094110249,0.999660729,-0.957916221,-0.429066493,-0.691966035,-0.166404444,-0.578291199,-0.803845407,-0.8405997,-0.298149417,-0.448873484,-0.935205184
-0.805920677,0.44028178,-0.956363636,-0.2,-0.982945667,-0.184758245,-0.944685105,-0.232946414,-0.588360538,-0.799677159,-0.749548899,-0.108928571,-0.770975057,0.207717042,0.125864599,0.999660729,-0.949752163,-0.407984983,-0.676028739,-0.146725291,-0.586404789,-0.745581666,-0.855052474,-0.360520905,-0.481802426,-0.943227399
-0.847068236,0.391770733,-0.934545455,-0.17370892,-0.98812447,-0.215497919,-0.947217594,-0.186198124,-0.5768789,-0.805811138,-0.748105377,-0.153571429,-0.775510204,0.202572347,0.157618948,0.999660729,-0.956555545,-0.378480495,-0.649640758,-0.160125299,-0.609063474,-0.748689066,-0.855052474,-0.282042495,-0.474870017,-0.943227399
-0.834495371,0.457092539,-0.916363636,-0.201877934,-0.990267423,-0.223182837,-0.948577141,-0.212275401,-0.591232531,-0.816303471,-0.750992422,-0.178571429,-0.778911565,0.192282958,0.112135821,0.999660729,-0.961026339,-0.42487907,-0.670280862,-0.162806721,-0.60550141,-0.759564964,-0.861109445,-0.308773132,-0.497400347,-0.940759025
-0.817350554,0.414985591,-0.92,-0.149295775,-0.986427966,-0.211655459,-0.945618127,-0.191286373,-0.598403745,-0.815012107,-0.749548899,-0.107142857,-0.77324263,0.197427653,0.166526934,0.999660729,-0.95198756,-0.392534835,-0.64167211,-0.197704276,-0.60550141,-0.792969509,-0.861109445,-0.243660041,-0.493934142,-0.940759025
-0.820779518,0.507845021,-0.887272727,-0.117370892,-0.986427966,-0.169388409,-0.938287238,-0.152170456,-0.578681202,-0.794834544,-0.731504872,-0.057142857,-0.766439909,0.241157556,0.27520436,0.999660729,-0.954222957,-0.348976007,-0.646374918,-0.170904261,-0.590956315,-0.789473684,-0.826206897,-0.258053461,-0.415944541,-0.929034249
-0.796776774,0.446685879,-0.887272727,-0.130516432,-0.984106433,-0.184758245,-0.942872376,-0.136587693,-0.5768789,-0.791283293,-0.719234933,-0.014285714,-0.766439909,0.233440514,0.474533641,0.999660729,-0.955194868,-0.340553029,-0.669235794,-0.143191496,-0.588185821,-0.790250534,-0.825007496,-0.255654558,-0.403812825,-0.928417155
-0.801348726,0.408581492,-0.865454545,-0.070422535,-0.984374302,-0.107909062,-0.925491503,-0.149944347,-0.573304984,-0.775464084,-0.716347889,-0.05,-0.758503401,0.223151125,0.447495284,0.999660729,-0.954222957,-0.346184391,-0.680339647,-0.134238032,-0.56829763,-0.790638959,-0.819010495,-0.260795065,-0.379549393,-0.929034249
-0.832209395,0.307236631,-0.865454545,-0.153051643,-0.986963704,-0.197566443,-0.938287238,-0.198600731,-0.61349291,-0.783535109,-0.740887766,0.005357143,-0.701814059,0.163987138,0.451896877,0.999660729,-0.960637574,-0.341948836,-0.700457218,-0.114569534,-0.616385494,-0.798407458,-0.861109445,-0.321795751,-0.481802426,-0.951249614
